Quality,Description,Levels,Cost per Level,Game Effect,Type
Hardening,"Get clipped by IC and other personas enough times in the Matrix, and you can start to build defenses against it.",1,10,"You gain a bonus Edge when making Matrix Damage Resistance tests. If you do not use that point of Edge immediately on the Damage Resistance test, it goes away. When struck by any damage in the Matrix, you can convert up to two boxes to Stun Damage, rather than Matrix damage, protecting your persona at the cost of yourself.",Positive
High Pain Tolerance,"Pain is but an illusion of the mind. Either that, or you were born with congenital analgesia. Either way, you don’t suffer the ill effects of injury and pain like others.",1,7,"When wounded, reduce your wound penalty by one (to a minimum of 0).",Positive
Home Ground,"Spend enough time somewhere, and you get to know it like the back of your hand. In the local neighborhood, you know every turn, every back alley, every shop on the block, the local rivalries and romances, and you can use all of it to your advantage. In the Matrix, you’ve spent countless hours in the code, you know its gremlins, its quirks, the local avatars, and the ones that are out of place.",1,10,"Select a neighborhood or Matrix host each time you take this quality. Outdoors and Perception tests made in your Home Ground gain an Edge for use on that test; if you do not use the Edge on that test, it goes away.",Positive
Human-Looking,"Small orks, tall dwarfs, and ugly elves do exist. Whether through genetics or modifications, you do not look like your birth metatype; you appear human.",1,8,You generally appear human at first glance and gain +2 dice on Disguise tests to hide your metatype and appear more human.,Positive
Indomitable,"Whether through deep studies, natural selection, or intense training, your mind is hard to break. You can hold out longer under interrogation, shrug off mild injuries with ease, and hold your mind against the onslaught of incoming mana.",1,12,Edge Boost costs are reduced by 1 on tests involving Willpower.,Positive
Juryrigger,"When you don’t have the time or the parts to do it right, you can still get it done.",1,12,"When performing a Juryrigging test (see p. 95), you gain a point of Edge that must be spent on that test, or it goes away.",Positive
Long Reach,"Whether it’s because of long arms, long legs, or some exceptional physical grace, you are able to reach people with melee weapons easier than others.",1,12,"When you are using a melee weapon, Close range is extended to 5 meters instead of 3.",Positive
Low-Light Vision,"Thanks to an increase in the number of rod cells in your natural eyes, an implanted increase of said rod cells, or an augmentation that enhances the light level of incoming data, you are capable of operating in light levels that would leave others essentially blind.",1,6,"You can see clearly in any light level that is not total darkness (see Environment and Visibility, p. 118).",Positive
Magic Resistance,"You could have been born under a blood moon, filled your body with foreign substances, or had bits of your soul sucked out by a spirit or vampire. For good or ill, mana just doesn’t seem to want to connect with you.",1,8,"You gain a bonus Edge for use on any Magic Resistance test; if you do not use it on that test, that point goes away. When a Health spell is cast on you, treat your Essence as if it were 2 points lower than it actually is.",Positive
Mentor Spirit,"You believe in something other than yourself to help guide and channel your magic, and that something believes in you.",1,10,"You gain the benefits listed with the description of your mentor spirit (see p. 162). If you fail to keep aligned with one of those tenets, you lose your faith and connection to your mentor and all associated bonuses.",Positive
Photographic Memory,"Most people store life in clips, but you keep the recording running all the time.",1,12,"You gain a bonus Edge point when making a Memory test (p. 67). If you do not use this point of Edge on the test, it goes away.",Positive
Quick Healer,You tend to heal from injury quicker than your peers.,1,8,"Cut the interval for any natural healing test (p. 120) in half, meaning you can heal Stun Damage after half an hour and Physical Damage after half a day.",Positive
Resistance to Pathogens,"When you claim, “I’ve never been sick a day in my life,” there’s a good chance it may be true.",1,12,"You gain a bonus point of Edge when you make a Pathogen Resistance test. If you do not use it on that test, it goes away.",Positive
Spirit/Sprite Affinity (select classification),You have earned respect among a particular group of spirits/sprites.,1,14,"When selecting this quality, choose a type of spirit or sprite. You gain a bonus point of Edge when making a Conjuring or Tasking test for your chosen class of spirits/sprites. This quality can be taken multiple times, selecting a new class of spirits/sprites each time.",Positive
Thermographic Vision,"Thanks to enhancements or just genetics, your vision allows you to see differences in temperature on and around objects and people.",1,8,"You can see the heat of objects in total darkness (assuming they are warmer or colder than the ambient temperature), allowing you to operate in such conditions.",Positive
Toughness,"Whether it’s mental training, a physical regimen of self-inflicted injury, or you’re just one tough bastard, you can take a bit more of a beating and shrug off the injuries better than most.",1,12,"You gain a bonus point of Edge when making Damage Resistance tests. If you do not use it on the test, it goes away.",Positive
Toxin Resistance,"Whether through naturally superior organs or because you think getting bit by a snake on a daily basis is a fun way to pass the time, you’re able to better resist the effects of toxins in the Sixth World.",1,12,"You gain a bonus point of Edge when you make a Toxin Resistance test (p. 121). If you do not use it on that test, it goes away.",Positive
Will to Live (1-3),"No matter how hard the hit, you have the tenacity to hold on to the bitter end.",1,8,"For every rank of this quality you possess, you gain two additional Damage Overflow boxes (see p. 121).",Positive
"Addiction (Substance, 1 to 6)","Some habits just can’t be kicked. It might be as simple as a need for a drag off that nic-stick to cool your nerves, or as life-twisting as a need for something better-than-life, but whatever it is, it’s got a firm grip on you.",1,2,"You cannot earn Edge or spend Edge in any form while suffering withdrawal. Withdrawal times (the time that passes before you need your next hit) and requirements are based on the level of addiction and can be found on the Addiction Withdrawal table. When in withdrawal, take a –2 dicepool penalty on all tests; increase that penalty by 1 each time you pass another Withdrawal time period.",Negative
"Allergy (Substance, Severity)","Maybe it’s a runny nose and poorly timed sneezes from pollen, or a full-blown anaphylactic reaction from some of those rare natural peanuts. Whatever it is, you suffer some level of discomfort from a substance found in the Sixth World.",1,2 to 20,"Select an allergen and severity to determine Karma value. You cannot spend or earn Edge while exposed to your allergen. At severity levels beyond Mild, you also suffer secondary effects.",Negative
AR Vertigo,"Whether it’s just too much information, a focal issue in your visual field, or just an inability to focus when there’s so much to look at, you get dizzy and nauseated when utilizing AR.",1,10,You cannot gain or spend Edge while utilizing AR of any sort. You also gain the Nauseated status while using AR and for one hour after you exit it.,Negative
Astral Beacon,"Whenever people talk about someone having a “bright soul,” they make it sound like a good thing. You know it’s not. Your bright aura makes you stick out like a sore thumb on the astral.",1,10,"You are considered Untrained for all Stealth tests in the astral plane. You can never take the masking metamagic. Assensing tests made against you get a free Edge, and all thresholds are reduced by 1. Astral Tracking tests made against you gain 2 Edge, and all thresholds are reduced by half.",Negative
Bad Luck,"You were born under a bad sign, broke a mirror, spilled some salt, got the evil eye laid on you, or just can’t catch a break. No matter the reason, things just go wrong around you. Often.",1,10,"Glitches occur more frequently. Count dice showing both 1 and 2 for determining a glitch. This does not affect critical glitches, only regular glitches.",Negative
Bad Rep,"Word on the street does not speak favorably of you. Maybe you lost a team or got kicked from a team for breaking during interrogation. Whatever it is, your reputation precedes you, and never in the way you want it to.",1,8,"You cannot spend Edge on Social tests. If you engage in a Teamwork test to assist a Social test, no one can spend Edge, and the opposing individual gains a point of Edge.",Negative
Combat Paralysis,"No matter how many times the street sam takes you to the range, you just can’t help but jump and freeze that first time they start shooting. Sure, you recover, but you always feel a half step behind in the fight.",1,8,"Your Initiative Score is divided in half at the start of combat. You cannot take a Move or Sprint action in the first round, and you act last in that round. Your movement is restored to normal after the first round, but your Initiative Score is unchanged.",Negative
Dependents (1 to 3),"Children, lovers, or something other, you have people relying on you for financial support. They live in your doss, eat your food, use your trid account, and generally cost you enough nuyen to keep you looking for that next score.",3,4,"Choose a level for the dependents. Level 1 dependents are the equivalent of a family member who does not live with you but still needs support. Level 2 dependents are more stable costs, like the support of a high-maintenance significant other, a child, or a small family. Level 3 dependents are rare in the shadows, because most runners don’t have a regular family and a second life outside the shadows, which is what this level entails.",Negative
Distinctive Style,You only fit in when you’re in places where no one fits in. The way you dress and look are unique to you. This isn’t just a pink mohawk or a signature black trenchcoat.,1,6,You cannot gain or spend Edge when you’re not rocking your distinctive look. Others get a +2 dice pool bonus when conducting a Memory test to recall your appearance or remember if they have seen you before.,Negative
Elf Poser,"Your blood may be human or ork, but your ears, cheekbones, and hoity-toity attitude are all elf.",1,6,"Elves, orks, and trolls gain a point of Edge in Influence (Etiquette) tests made against you.",Negative
Glass Jaw,Doesn’t take much to lay you on your hoop. You just never could take a punch.,1,4,"You have 1 less Stun Box for each level of this Quality, down to a minimum of 2.",Negative
Gremlins,"Commlinks freeze, guns jam, car tires blow, electrical systems short. Any and every thing that could go wrong with some fidgety bit of tech in your hands has gone wrong at one point in your life.",1,6,"Whenever you use any device, roll 2D6. If you get a 1 on either die, it means the device fails to function correctly and can be treated as a glitch. Rolling snake eyes (double 1s) means the device fails catastrophically, and the roll can be treated like a critical glitch.",Negative
Honorbound,You have a code. You live by the code. You die by the code.,1,10,You cannot spend or earn Edge for twenty-four hours after you break a tenet of your code.,Negative
Impaired (Attribute),"Some folks are just not meant to be naturally talented. A bum knee, poor genetics, or an illness as a kid has you lacking the maximum achievement level of your peers.",1,8,"For each level, the character’s maximum for the chosen attribute decreases by 1, to a minimum of 2.",Negative
Incompetent (Skill),"No matter how much you practice and try to figure it out, there are some skills you just can’t manage to get right.",1,10,"When this quality is chosen, select a skill. You are unable to gain ranks in the selected skill. You cannot be Incompetent in skills you have no chance to perform—so you cannot choose this quality for Magic skills if you do not have a Magic rating, and you cannot choose it for Tasking if you do not have a Resonance rating. This skill may only be selected once.",Negative
In Debt,Sometimes to get cash you need to owe cash. You’ve built up a bit of debt trying to get a foothold in the shadows.,1,None,"When you spend Karma for cash, every point of Karma you spend gets you 5,000 instead of 2,000 nuyen. Each point of Karma spent also puts you 5,000 nuyen into debt with someone very dangerous and capable of collecting. You must repay interest at a rate of 200 nuyen of this quality.",Negative
Insomnia,"Sleep? What’s that? It could be nightmares, brain damage, funky biochemistry, or a psychological disorder, but no matter the reason, you just can’t get a good night’s rest.",1,4,"Without proper rest, you can’t regain Edge or spend it as you might like.",Negative
Loss of Confidence,"Imposter syndrome, a single traumatic failure, or just too many rejections or small failures in life have left you doubting yourself at every turn.",1,6,"During any encounter, the runner must make a Willpower (2) test as a Minor Action. Failure means they cannot earn or spend Edge for the entire encounter.",Negative
Low Pain Tolerance,"You’ve got sensitive nerves or a generally sensitive nature. For whatever reason, you are more affected by injuries and discomfort.",1,10,All wound modifiers are doubled.,Negative
Ork Poser,"Your blood may be human or elf, but your ears, jaw, tusks, and rough attitude are all ork.",1,6,"Elves, orks, and trolls gain a point of Edge in Influence (Etiquette) tests made against you.",Negative
Prejudiced (Group),"You have some deep-seated views and beliefs about a certain group, and no matter what anyone says, you know they’re no good.",1,8,Select a specific group or type of people. You are unable to gain or use Edge while the object of your prejudice is present.,Negative
Scorched,"A Matrix, simsense, or BTL experience has fried your neurons to the point of perpetual frazzle, causing trouble when you’re logged on, even when it’s just AR.",1,6,You cannot spend Edge while accessing the Matrix.,Negative
Sensitive System,"It could be latent unexpressed arcane talent or just a hyperactive immune system, but the result is the same. Your body does not like to have anything grafted or merged with it that isn’t part of its natural code.",1,8,"Essence costs are doubled for all cyberware, bioware, and nanoware. Geneware suffers no ill effects.",Negative
Simsense Vertigo,"Somewhere inside your brain, you’ve got some wires crossed. Whenever you log onto the Matrix in VR, your disorientation is nauseating.",1,6,You cannot gain or spend Edge while accessing the Matrix via VR.,Negative
SINner,"Unlike a lot of runners, who have either no SIN or a criminal SIN, you have a legitimate SIN that links back to biometric data. You have enough attachment to it, whether for your own or family purposes, that you can’t just burn it.",1,8,"You pay taxes to the issuer of your SIN, either a megacorporation or a nation. Due to data within the Global SIN Registry, you are easier to track or identify, giving opponents a point of Edge every time they attempt a Trace Icon action against you.",Negative
Social Stress,"There is a social situation that simply does not work for you, like being in large groups, talking to new people, being the center of attention, being out of the spotlight, or a myriad of other situations that some folks find totally normal but you find ridiculously stressful.",1,8,"Select a specific social stressor. When encountering your social stressor, you must make a Charisma (2) test as a Minor Action. Failure means you cannot earn or spend Edge until you succeed. You can choose not to take the test but if so, any tests made against you gain a bonus Edge.",Negative
Spirit/Sprite Bane,"You may have angered them with how you treat their fellows, killed a powerful and respected member of their kind, or been born under a bad sign and marked as an enemy to entities like them.",1,12,"When selecting this quality, choose a type of spirit or sprite. Spirits/sprites from that category gain a bonus point of Edge when you attempt a Conjuring or Tasking test against them. In combat, spirits/sprites of the chosen type will attack you first and relentlessly.",Negative
Uncouth,"At some point in life, the filter between your thoughts and your mouth disappeared. You consider yourself brutally honest, but others tend to see you as rude and abrasive.",1,6,You cannot spend Edge on any test using Charisma.,Negative
Uneducated,"Maybe book learning just wasn’t your thing, or maybe you were never exposed to vast quantities of information solely for the sake of expanding your knowledge base. Either way, you have a definite lack in your basic education.",1,6,You cannot spend Edge on any test using Logic.,Negative
Unsteady Hands,"Nervous tics, excessive caffeine intake, or a general clumsiness might be the cause, but the results are all the same: You can’t draw a straight line to save your life.",1,4,You cannot spend Edge on any test using Agility that directly involves your hands.,Negative
Weak Immune System,"Perpetual sniffles are annoying to both you and your team, but a poorly timed sneeze or a sudden need for a bathroom can mean the end of a good run. You’re sick almost all the time.",1,8,"You cannot spend Edge to resist the effects of an infection. The threshold for fighting off any infection you are exposed to is increased by 1. While suffering the ill effects of an illness, you suffer a –1 dice pool modifier to all tests.",Negative
